,Player,Club,Goals
95,John Carew,Olympique Lyonnais,5
96,Andy Cole,Manchester United FC,18
97,Ronaldinho,FC Barcelona,14
98,Ronaldinho,AC Milan,4
99,Paulo Dybala,Juventus,18
100,Lucho González,Olympique de Marseille,5
101,Lucho González,FC Porto,13
102,Romelu Lukaku,Manchester United FC,7
103,Romelu Lukaku,Chelsea FC,2
104,Romelu Lukaku,FC Internazionale Milano,9
105,Juninho Pernambucano,Olympique Lyonnais,18
106,Franck Ribéry,FC Bayern München,18
107,Javier Saviola,FC Barcelona,11
108,Javier Saviola,AS Monaco FC,4
109,Javier Saviola,Málaga CF,1
110,Javier Saviola,Olympiacos FC,2
111,Pierre-Emerick Aubameyang,Borussia Dortmund,15
112,Pierre-Emerick Aubameyang,Chelsea FC,2
113,Francesco Totti,AS Roma,17
114,Hulk,FC Porto,7
115,Hulk,FC Zenit,10
116,Timo Werner,Chelsea FC,8
117,Timo Werner,RB Leipzig,9
118,Michael Ballack,FC Bayern München,3
119,Michael Ballack,Chelsea FC,4
120,Michael Ballack,Bayer 04 Leverkusen,9
121,David Beckham,Manchester United FC,14
122,David Beckham,Real Madrid CF,2
123,Roberto Carlos,Real Madrid CF,16
124,Guti,Real Madrid CF,16
125,Dries Mertens,SSC Napoli,16
126,Gerard Piqué,Manchester United FC,2
127,Gerard Piqué,FC Barcelona,14
128,Pedro Rodríguez,FC Barcelona,15
129,Pedro Rodríguez,Chelsea FC,1
130,Roberto Soldado,Real Madrid CF,1
131,Roberto Soldado,Valencia CF,15
132,Vinícius Júnior,Real Madrid CF,15
133,Seydou Doumbia,PFC CSKA Moskva,13
134,Seydou Doumbia,FC Basel 1893,1
135,Seydou Doumbia,Sporting Clube de Portugal,1
136,Iván Helguera,Real Madrid CF,15
137,Simone Inzaghi,SS Lazio,15
138,Pavel Nedvěd,SS Lazio,4
139,Pavel Nedvěd,Juventus,11
140,Sergio Ramos,Real Madrid CF,15
141,Sergio Ramos,Paris Saint-Germain,0
142,Alexis Sánchez,FC Barcelona,3
143,Alexis Sánchez,Arsenal FC,9
144,Alexis Sánchez,Manchester United FC,0
145,Alexis Sánchez,FC Internazionale Milano,1
146,Alexis Sánchez,Olympique de Marseille,2
147,Rodrygo,Real Madrid CF,15
148,Diego Tristán,Real Club Deportivo La Coruña,15
149,Arturo Vidal,Juventus,9
150,Arturo Vidal,FC Bayern München,5
151,Arturo Vidal,FC Barcelona,0
152,Arturo Vidal,FC Internazionale Milano,1
153,Theo Walcott,Arsenal FC,15
154,Sylvain Wiltord,FC Girondins de Bordeaux,4
155,Sylvain Wiltord,Arsenal FC,3
156,Sylvain Wiltord,Olympique Lyonnais,8
157,Vincent Aboubakar,Beşiktaş JK,3
158,Vincent Aboubakar,FC Porto,11
159,Kingsley Coman,Juventus,0
160,Kingsley Coman,FC Bayern München,14
161,Kevin De Bruyne,Manchester City FC,14
162,Serge Gnabry,FC Bayern München,14
163,Javier Hernández,Manchester United FC,7
164,Javier Hernández,Real Madrid CF,1
165,Javier Hernández,Bayer 04 Leverkusen,6
166,Klaas Jan Huntelaar,FC Schalke 04,13
167,Klaas Jan Huntelaar,AFC Ajax,1
168,Miroslav Klose,SV Werder Bremen,5
169,Miroslav Klose,FC Bayern München,9
170,Adriano,FC Internazionale Milano,14
171,Kostas Mitroglou,Olympiacos FC,11
172,Kostas Mitroglou,SL Benfica,3
173,Bernardo Silva,AS Monaco FC,2
174,Bernardo Silva,Manchester City FC,12
175,Ronaldo,FC Internazionale Milano,1
176,Ronaldo,Real Madrid CF,13
177,Robert Pirès,Olympique de Marseille,2
178,Robert Pirès,Arsenal FC,11
179,Robert Pirès,Villarreal CF,1
180,David Villa,Valencia CF,6
181,David Villa,FC Barcelona,8
182,Zinédine Zidane,Juventus,5
183,Zinédine Zidane,Real Madrid CF,9
184,Dimitar Berbatov,Bayer 04 Leverkusen,7
185,Dimitar Berbatov,Manchester United FC,5
186,Dimitar Berbatov,AS Monaco FC,1
187,Peter Crouch,Liverpool FC,9
188,Peter Crouch,Tottenham Hotspur,4
189,Sonny Anderson,FC Barcelona,4
190,Sonny Anderson,Olympique Lyonnais,9
191,Deco,FC Porto,7
192,Deco,FC Barcelona,6
193,Carsten Jancker,FC Bayern München,13
194,Jan Koller,RSC Anderlecht,3
195,Jan Koller,Borussia Dortmund,10
196,Fredrik Ljungberg,Arsenal FC,13
197,Jackson Martínez,FC Porto,12
198,Jackson Martínez,Club Atlético de Madrid,1
199,Lukas Podolski,FC Bayern München,3
200,Lukas Podolski,Arsenal FC,8
201,Lukas Podolski,Galatasaray AŞ,2
202,Hakan Şükür,Galatasaray AŞ,13
203,Carlos Tévez,Manchester United FC,6
204,Carlos Tévez,Juventus,7
205,Burak Yılmaz,Galatasaray AŞ,10
206,Burak Yılmaz,LOSC Lille,3
207,Dani Alves,Sevilla FC,2
208,Dani Alves,FC Barcelona,5
209,Dani Alves,Juventus,3
210,Dani Alves,Paris Saint-Germain,2
211,Marco Asensio,Real Madrid CF,12
212,Philippe Coutinho,Liverpool FC,5
213,Philippe Coutinho,FC Bayern München,3
214,Philippe Coutinho,FC Barcelona,4
215,Radamel Falcao,FC Porto,4
216,Radamel Falcao,Chelsea FC,0
217,Radamel Falcao,AS Monaco FC,8
218,Radamel Falcao,Galatasaray AŞ,0
219,Mario Götze,FC Bayern München,9
220,Mario Götze,Borussia Dortmund,3
221,Mario Götze,Eintracht Frankfurt,0
222,Roy Keane,Manchester United FC,12
223,Walter Pandiani,Real Club Deportivo La Coruña,12
224,Marcus Rashford,Manchester United FC,12
225,Mehmet Scholl,FC Bayern München,12
226,Bastian Schweinsteiger,FC Bayern München,12
227,Bastian Schweinsteiger,Manchester United FC,0
228,Paulo Sérgio,FC Bayern München,12
229,Giovanni,FC Barcelona,4
230,Giovanni,Olympiacos FC,8
231,Wesley Sneijder,AFC Ajax,2
232,Wesley Sneijder,FC Internazionale Milano,6
233,Wesley Sneijder,Galatasaray AŞ,4
